"","X","plus","mcmullen","state","locality","name","type","founding_date","em","ml","ce","de","sz","ld","vs","location","lon","lat","period"
"2352",2352,8197,2752,"MA","Franklin","Franklin Library","Public",NA,1875,1875,NA,1875,2380,1875,2380,"Franklin MA",-71.396725,42.0834313,NA
"2353",2353,635,2755,"MA","Franklin","Social Library","Socl",1856,NA,1856,NA,NA,0,NA,0,"Franklin MA",-71.396725,42.0834313,"Antebellum"
"2354",2354,634,2754,"MA","Franklin","Pawtucket Library","Socl",1874,NA,1884,NA,NA,0,NA,0,"Franklin MA",-71.396725,42.0834313,NA
"2355",2355,3470,2757,"MA","Franklin","Town Library","Gov",1790,NA,NA,1856,NA,0,NA,0,"Franklin MA",-71.396725,42.0834313,"Early National"
"2356",2356,7220,2756,"MA","Franklin","Town Library - Orthodop? Congregational Church","Church",1785,NA,1790,NA,1786,116,1786,116,"Franklin MA",-71.396725,42.0834313,"Early National"
"2357",2357,2609,2758,"MA","Freetown","Freetown Law Library","Law socl",NA,1875,1884,NA,1875,300,1875,300,"Freetown MA",-71.014118,41.7619708,NA
"2358",2358,636,2759,"MA","Gardner","South Gardner Library Assoc.","Socl",1840,NA,1852,NA,NA,0,NA,0,"Gardner MA",-71.998133,42.5750883,"Antebellum"
"2359",2359,8198,2762,"MA","Georgetown","Peabody Library","Public",1869,NA,1875,NA,1875,4325,1875,4325,"Georgetown MA",-70.9911659,42.7250918,NA
"2360",2360,2634,95057,"MA","Georgetown","Georgetown Agricultural and Social Library","Agri state",1860,NA,1863,NA,NA,0,NA,0,"Georgetown MA",-70.9911659,42.7250918,"Antebellum"
"2361",2361,2633,95058,"MA","Georgetown","Georgetown Agricultural Library","Agri state",NA,NA,NA,NA,NA,0,NA,0,"Georgetown MA",-70.9911659,42.7250918,NA
"2362",2362,637,2761,"MA","Georgetown","New Rowley Social Library","Socl",NA,NA,NA,NA,NA,0,NA,0,"Georgetown MA",-70.9911659,42.7250918,NA
"2363",2363,4548,2760,"MA","Georgetown","Agricultural Literary Assoc.","Agri socl",NA,1859,1859,NA,NA,0,NA,0,"Georgetown MA",-70.9911659,42.7250918,NA
"2364",2364,8199,2763,"MA","Gill","Town Library","Public",1872,NA,1884,NA,1875,275,1875,275,"Gill MA",-72.4996367,42.6408105,NA
"2365",2365,8200,2764,"MA","Globe Village","Hamilton Free Library","Public",1872,NA,1875,NA,1875,3400,1875,3400,"Globe Village MA",-71.1856015,41.6820467,NA
"2366",2366,8201,2771,"MA","Gloucester","Sawyer Free Library","Public",1854,NA,1884,NA,1854,1400,1875,4500,"Gloucester MA",-70.6619888,42.6159285,"Antebellum"
"2367",2367,640,2769,"MA","Gloucester","Glouchester Social Library","Socl",1812,NA,1812,NA,NA,0,NA,0,"Gloucester MA",-70.6619888,42.6159285,"Early National"
"2368",2368,3361,2767,"MA","Gloucester","Gloucester Lyceum","Lyceum",1830,NA,NA,1854,1854,1400,1854,1400,"Gloucester MA",-70.6619888,42.6159285,"Antebellum"
"2369",2369,639,2768,"MA","Gloucester","Gloucester Social Library","Socl",NA,1796,NA,1830,1830,2000,1830,2000,"Gloucester MA",-70.6619888,42.6159285,NA
"2370",2370,638,2766,"MA","Gloucester","Citizen's Library Assoc.","Socl",NA,1858,1859,NA,NA,0,NA,0,"Gloucester MA",-70.6619888,42.6159285,NA
"2371",2371,4949,2770,"MA","Gloucester?","Procter Circulating Library","Comm",1851,NA,1884,NA,NA,0,NA,0,"Gloucester? MA",-70.6619888,42.6159285,"Antebellum"
"2372",2372,3969,2765,"MA","Glouchester","Cape Ann Scientific and Library Assoc.","Sci eng socy",1875,NA,1884,NA,NA,0,NA,0,"Glouchester MA",-70.6619888,42.6159285,NA
"2373",2373,641,2772,"MA","Goshen","Social Library","Socl",NA,NA,NA,NA,NA,0,NA,0,"Goshen MA",-72.7993986,42.4407187,NA
"2374",2374,8202,2773,"MA","Grafton","Grafton Library","Public",1866,NA,1884,NA,1875,3203,1875,3203,"Grafton MA",-71.6856236,42.2070391,NA
"2375",2375,643,2775,"MA","Great Barrington","Union Library","Socl",NA,1823,NA,1823,NA,0,NA,0,"Great Barrington MA",-73.362008,42.1959798,NA
"2376",2376,642,2774,"MA","Great Barrington","Library Assoc.","Socl",NA,1862,1875,NA,1875,1000,1875,1000,"Great Barrington MA",-73.362008,42.1959798,NA
"2377",2377,646,2780,"MA","Greenfield","Social Library","Socl",1820,NA,NA,1855,NA,0,NA,0,"Greenfield MA",-72.5994104,42.587915,"Early National"
"2378",2378,645,2778,"MA","Greenfield","Library in Greenfield","Socl",NA,1801,1801,NA,NA,0,NA,0,"Greenfield MA",-72.5994104,42.587915,NA
"2379",2379,644,2777,"MA","Greenfield","Library Assoc.","Socl",1855,NA,1884,NA,1857,692,1875,4600,"Greenfield MA",-72.5994104,42.587915,"Antebellum"
"2380",2380,2608,2776,"MA","Greenfield","Law Lit. Assoc. For Franklin Co.","Law socl",1856,NA,1884,NA,NA,0,NA,0,"Greenfield MA",-72.5994104,42.587915,"Antebellum"
"2381",2381,4950,2779,"MA","Greenfield","Moody's Circulating Library","Comm",1872,NA,1884,NA,NA,0,NA,0,"Greenfield MA",-72.5994104,42.587915,NA
"2382",2382,8203,2783,"MA","Groton","Public Library","Public",1854,NA,1884,NA,1869,1665,1875,3310,"Groton MA",-71.5745152,42.6112018,"Antebellum"
"2383",2383,649,2786,"MA","Groton","United Library","Socl",1830,NA,NA,1841,NA,0,NA,0,"Groton MA",-71.5745152,42.6112018,"Antebellum"
"2384",2384,648,2785,"MA","Groton","Social Library","Socl",1796,NA,NA,1830,1810,110,1810,110,"Groton MA",-71.5745152,42.6112018,"Early National"
"2385",2385,647,2784,"MA","Groton","Second Social Library","Socl",1828,NA,NA,1830,NA,0,NA,0,"Groton MA",-71.5745152,42.6112018,"Early National"
"2386",2386,2632,95059,"MA","Groton","Groton Agricultural Library","Agri state",NA,NA,NA,NA,NA,0,NA,0,"Groton MA",-71.5745152,42.6112018,NA
"2387",2387,7222,95148,"MA","Groton","Union Church and Society Congregational Library","Church",NA,NA,NA,NA,NA,0,NA,0,"Groton MA",-71.5745152,42.6112018,NA
"2388",2388,7221,2781,"MA","Groton","First Parish Library","Church",1841,NA,1875,NA,1848,640,1875,450,"Groton MA",-71.5745152,42.6112018,"Antebellum"
"2389",2389,4549,2782,"MA","Groton","Groton Farmers' and Mechanics Club","Agri socl",NA,1859,1859,NA,1859,150,1859,150,"Groton MA",-71.5745152,42.6112018,NA
"2390",2390,4951,12269,"MA","Groton Centre","North Middlesex Circulating Library","Comm",NA,1866,1866,NA,NA,0,NA,0,"Groton Centre MA",-71.575987,42.557205,NA
"2391",2391,2933,2787,"MA","Hadley","Hadley Young Men's Library","Young Men's",1856,NA,1884,NA,NA,0,NA,0,"Hadley MA",-72.5884222,42.3417565,"Antebellum"
"2392",2392,650,2788,"MA","Hardwick","Hardwick Library Association","Socl",1802,NA,1831,NA,1831,95,1831,95,"Hardwick MA",-72.1986558,42.3490548,"Early National"
"2393",2393,651,2789,"MA","Hardwick","First Social Library","Socl",NA,1802,NA,1802,NA,0,NA,0,"Hardwick MA",-72.1986558,42.3490548,NA
"2394",2394,8204,2791,"MA","Harvard","Public Library","Public",NA,1869,1884,NA,1869,1200,1875,1826,"Harvard MA",-71.5828444,42.5000919,NA
"2395",2395,654,2793,"MA","Harvard","Union Library","Socl",1865,NA,1884,NA,1875,300,1875,300,"Harvard MA",-71.5828444,42.5000919,NA
"2396",2396,652,2790,"MA","Harvard","Harvard Library Association","Socl",1793,NA,1808,NA,1793,100,1793,100,"Harvard MA",-71.5828444,42.5000919,"Early National"
"2397",2397,653,2792,"MA","Harvard","Social Library","Socl",1808,NA,1850,NA,1809,150,1846,270,"Harvard MA",-71.5828444,42.5000919,"Early National"
"2398",2398,8205,2796,"MA","Hatfield","Social Library","Public",1873,NA,1884,NA,1875,3000,1875,3000,"Hatfield MA",-72.5981843,42.3709761,NA
"2399",2399,656,2795,"MA","Hatfield","Social Library","Socl",1870,NA,1873,NA,NA,0,NA,0,"Hatfield MA",-72.5981843,42.3709761,NA
"2400",2400,655,2794,"MA","Hatfield","Proprietary Library","Socl",1806,NA,NA,1873,NA,0,NA,0,"Hatfield MA",-72.5981843,42.3709761,"Early National"
"2401",2401,6704,12270,"MA","Hathorne","Danvers State Hospital Macdonald Medical Library","Hosp",1874,NA,1957,NA,NA,0,NA,0,"Hathorne MA",-70.9744964,42.5862053,NA
"2402",2402,2998,2805,"MA","Havenhill","Mechanics' Institute","Mech",1856,NA,NA,1859,1859,700,1859,700,"Havenhill MA",-71.0772796,42.7762015,"Antebellum"
"2403",2403,8206,2802,"MA","Haverhill","Public Library","Public",1874,NA,1884,NA,1875,20000,1875,20000,"Haverhill MA",-71.0772796,42.7762015,NA
"2404",2404,2997,2797,"MA","Haverhill","Apprentices' Library","Appren",1825,NA,1825,NA,NA,0,NA,0,"Haverhill MA",-71.0772796,42.7762015,"Early National"
"2405",2405,658,2801,"MA","Haverhill","Haverhill Library Assoc.","Socl",1859,NA,NA,1875,NA,0,NA,0,"Haverhill MA",-71.0772796,42.7762015,"Antebellum"
"2406",2406,657,2803,"MA","Haverhill","Haverhill Social Library","Socl",1796,NA,NA,1841,1796,320,1796,320,"Haverhill MA",-71.0772796,42.7762015,"Early National"
"2407",2407,2999,2806,"MA","Haverhill","Mechanics Library Assoc.","Mech",1831,NA,1831,NA,NA,0,NA,0,"Haverhill MA",-71.0772796,42.7762015,"Antebellum"
"2408",2408,3545,2808,"MA","Haverhill","YMCA","YMCA",1855,NA,1858,NA,NA,0,NA,0,"Haverhill MA",-71.0772796,42.7762015,"Antebellum"
"2409",2409,2616,2804,"MA","Haverhill","Haverhill Theological Library Assoc.","Rel socl",1830,NA,1830,NA,NA,0,NA,0,"Haverhill MA",-71.0772796,42.7762015,"Antebellum"
"2410",2410,3298,2800,"MA","Haverhill","Haverhill Athenaeum","Athen",1852,NA,NA,1875,1857,1288,1859,1400,"Haverhill MA",-71.0772796,42.7762015,"Antebellum"
"2411",2411,4952,2798,"MA","Haverhill","Circulating Library","Comm",NA,1855,1857,NA,1857,600,1857,600,"Haverhill MA",-71.0772796,42.7762015,NA
"2412",2412,4391,2799,"MA","Haverhill","Essex North District Medical Society","Med socy",1854,NA,1854,NA,1854,275,1854,275,"Haverhill MA",-71.0772796,42.7762015,"Antebellum"
"2413",2413,4953,2807,"MA","Haverhill","Morse and Son's Circulating Library","Comm",1869,NA,1884,NA,1875,2000,1875,2000,"Haverhill MA",-71.0772796,42.7762015,NA
"2414",2414,8207,2811,"MA","Hingham","Public Library","Public",1869,NA,1884,NA,1875,5515,1875,5515,"Hingham MA",-70.889759,42.2418172,NA
"2415",2415,660,2809,"MA","Hingham","First Social Library at Hingham Center","Socl",1771,NA,1869,NA,NA,0,NA,0,"Hingham MA",-70.889759,42.2418172,"Colonial"
"2416",2416,659,2812,"MA","Hingham","Second Social Library","Socl",1773,NA,NA,1891,1875,1750,1875,1750,"Hingham MA",-70.889759,42.2418172,"Colonial"
"2417",2417,661,2813,"MA","Hingham","Social Library of the Third Parish","Socl",1827,NA,1827,NA,1827,350,1827,350,"Hingham MA",-70.889759,42.2418172,"Early National"
"2418",2418,4550,2810,"MA","Hingham Centre (Plymouth County)","Hingham Agricultural and Horicultural Society","Agri socl",NA,1867,1867,NA,1867,200,1867,200,"Hingham Centre (Plymouth County) MA",-70.917157,42.118658,NA
"2419",2419,8208,2814,"MA","Hinsdale","Public Library","Public",1866,NA,1884,NA,1869,2000,1875,2417,"Hinsdale MA",-73.1253799,42.4386967,NA
"2420",2420,8209,2815,"MA","Holbrook","Public Library","Public",1874,NA,1884,NA,1875,2332,1875,2332,"Holbrook MA",-71.014118,42.144846,NA
"2421",2421,4551,2816,"MA","Holden","Holden Farmers and Mechanics Club","Agri socl",NA,1867,1867,NA,1867,40,1867,40,"Holden MA",-71.8634062,42.3517585,NA
"2422",2422,662,2817,"MA","Holland","Holland Social Library Company","Socl",NA,1816,1816,NA,NA,0,NA,0,"Holland MA",-72.1572885,42.0639524,NA
"2423",2423,4954,95228,"MA","Holliston","Holliston Circulating Library","Comm",NA,1854,1863,NA,NA,0,NA,0,"Holliston MA",-71.4245049,42.2000966,NA
"2424",2424,8210,2818,"MA","Holyoke","Public Library","Public",1870,NA,1884,NA,1875,5350,1875,5350,"Holyoke MA",-72.6162009,42.2042586,NA
"2425",2425,3546,2819,"MA","Hopkinton","Young men's Christian Assoc.","YMCA",1867,NA,1884,NA,1875,1091,1875,1091,"Hopkinton MA",-71.5225646,42.2286954,NA
"2426",2426,8211,2820,"MA","Housatonic","The Cove Library","Public",1869,NA,1884,NA,1875,2500,1875,2500,"Housatonic MA",-73.3662214,42.2542548,NA
"2427",2427,8212,2823,"MA","Hubbardston","Public Library","Public",1872,NA,1884,NA,1875,2200,1875,2200,"Hubbardston MA",-72.0061877,42.4737009,NA
"2428",2428,663,2821,"MA","Hubbardston","Hubbardston Library Association","Socl",NA,1825,1825,NA,NA,0,NA,0,"Hubbardston MA",-72.0061877,42.4737009,NA
"2429",2429,4552,2822,"MA","Hubbardston","Hubbardston Farmers' Club","Agri socl",NA,1867,1867,NA,1867,150,1867,150,"Hubbardston MA",-72.0061877,42.4737009,NA
"2430",2430,8213,2824,"MA","Hudson","Public Library","Public",1868,NA,1884,NA,1869,877,1875,1622,"Hudson MA",-71.566139,42.391736,NA
"2431",2431,8214,2825,"MA","Hyde Park","Public Library","Public",1874,NA,1884,NA,1875,4439,1875,4439,"Hyde Park MA",-71.1240559,42.2565289,NA
"2432",2432,6747,2826,"MA","Ipowich?","House of Correction","Prison",1868,NA,1875,NA,1875,400,1875,400,"Ipowich? MA",-70.8411558,42.6791832,NA
"2433",2433,8215,2827,"MA","Ipswich","Free Public Library","Public",1868,NA,1884,NA,1875,8000,1875,8000,"Ipswich MA",-70.8411558,42.6791832,NA
"2434",2434,665,2829,"MA","Ipswich","Social Library","Socl",1791,NA,1791,NA,NA,0,NA,0,"Ipswich MA",-70.8411558,42.6791832,"Early National"
"2435",2435,664,95007,"MA","Ipswich","Ispwich Public Library","Socl",1791,NA,1836,NA,NA,0,NA,0,"Ipswich MA",-70.8411558,42.6791832,"Early National"
"2436",2436,2617,2828,"MA","Iswich","Religious Library Ipswich","Theo coll",1799,NA,NA,1830,NA,0,NA,0,"Iswich MA",-70.8411558,42.6791832,"Early National"
"2437",2437,666,2830,"MA","Jamaica Plain","Eliot Library Assoc.","Socl",1857,NA,1859,NA,1857,1400,1857,1400,"Jamaica Plain MA",-71.1151431,42.3097365,"Antebellum"
"2438",2438,4955,2831,"MA","Jamaica Plain","Jamaica Plain Circulating Library","Comm",1868,NA,1875,NA,1875,1200,1875,1200,"Jamaica Plain MA",-71.1151431,42.3097365,NA
"2439",2439,7223,95149,"MA","Jamaica Plain","Unitarian Church","Church",NA,NA,NA,NA,NA,0,NA,0,"Jamaica Plain MA",-71.1151431,42.3097365,NA
"2440",2440,667,2832,"MA","Kingston","Library Association","Socl",1870,NA,1884,NA,1875,566,1875,566,"Kingston MA",-70.7284785,41.9932752,NA
"2441",2441,8216,2833,"MA","Lakeville","Town Library","Public",1860,NA,1875,NA,1875,625,1875,625,"Lakeville MA",-70.9495226,41.8459169,"Antebellum"
"2442",2442,668,95008,"MA","Lakeville","Lakeville Library Association","Socl",NA,NA,NA,NA,NA,0,NA,0,"Lakeville MA",-70.9495226,41.8459169,NA
"2443",2443,8217,2838,"MA","Lancaster","Town Library","Public",1862,NA,1884,NA,1869,4000,1875,8430,"Lancaster MA",-71.6731242,42.4556452,NA
"2444",2444,670,2835,"MA","Lancaster","Lancaster Library","Socl",1851,NA,NA,1862,1857,415,1857,415,"Lancaster MA",-71.6731242,42.4556452,"Antebellum"
"2445",2445,671,2836,"MA","Lancaster","Social Library","Socl",1800,NA,NA,1850,1850,1020,1850,1020,"Lancaster MA",-71.6731242,42.4556452,"Early National"
"2446",2446,669,2834,"MA","Lancaster","Lancaster Library","Socl",1790,NA,NA,1800,1790,60,1790,60,"Lancaster MA",-71.6731242,42.4556452,"Early National"
"2447",2447,6756,2837,"MA","Lancaster","State Industrial","Prison",1857,NA,1884,NA,1875,1250,1875,1250,"Lancaster MA",-71.6731242,42.4556452,"Antebellum"
"2448",2448,672,2839,"MA","Lanesborough","Library Assoc.","Socl",1870,NA,1884,NA,1875,588,1875,588,"Lanesborough MA",-73.2281596,42.5173058,NA
"2449",2449,8218,2842,"MA","Lawrence","Public Library","Public",1872,NA,1884,NA,1875,13328,1875,13328,"Lawrence MA",-71.1631137,42.7070354,NA
"2450",2450,673,2841,"MA","Lawrence","Franklin Library Assoc.","Socl",1847,NA,NA,1872,1857,1800,1870,5200,"Lawrence MA",-71.1631137,42.7070354,"Antebellum"
"2451",2451,3547,2846,"MA","Lawrence","YMCA","YMCA",1857,NA,1859,NA,1858,350,1859,300,"Lawrence MA",-71.1631137,42.7070354,"Antebellum"
"2452",2452,7068,2845,"MA","Lawrence","Pacific Mills","Mill",1854,NA,1884,NA,1857,2024,1875,6000,"Lawrence MA",-71.1631137,42.7070354,"Antebellum"
"2453",2453,7069,2840,"MA","Lawrence","Atlantic Cotton Mills","Mill",NA,1866,1892,NA,1875,2800,1875,2800,"Lawrence MA",-71.1631137,42.7070354,NA
"2454",2454,6749,2843,"MA","Lawrence","House of Corrections","Prison",1868,NA,1884,NA,1875,300,1875,300,"Lawrence MA",-71.1631137,42.7070354,NA
"2455",2455,6748,2844,"MA","Lawrence","Industrial School","Prison",1875,NA,1884,NA,1875,500,1875,500,"Lawrence MA",-71.1631137,42.7070354,NA
"2456",2456,674,12271,"MA","Lechmere Point","Lechmere Point Library Assoc.","Socl",NA,1822,1822,NA,NA,0,NA,0,"Lechmere Point MA",-71.0021878,42.0374105,NA
"2457",2457,8219,2848,"MA","Lee","Public Library","Public",1874,NA,1875,NA,1875,2500,1875,2500,"Lee MA",-73.2481951,42.3042151,NA
"2458",2458,675,2849,"MA","Lee","Town Library","Socl",NA,1852,NA,1852,1852,300,1852,300,"Lee MA",-73.2481951,42.3042151,NA
"2459",2459,4553,2847,"MA","Lee","Lee Farmers' Club","Agri socl",NA,1867,1867,NA,1867,309,1867,309,"Lee MA",-73.2481951,42.3042151,NA
"2460",2460,8220,2852,"MA","Leicester","Public Library","Public",1861,NA,1884,NA,1861,200,1875,3007,"Leicester MA",-71.9086843,42.245926,NA
"2461",2461,676,2851,"MA","Leicester","Leicester Social Library Company","Socl",1793,NA,NA,1861,1861,900,1861,900,"Leicester MA",-71.9086843,42.245926,"Early National"
"2462",2462,677,2853,"MA","Leicester","Second Social Library","Socl",1829,NA,NA,1861,NA,0,NA,0,"Leicester MA",-71.9086843,42.245926,"Antebellum"
"2463",2463,4088,2850,"MA","Leicester","Leicester Fire Company Library","Fire",1812,NA,NA,1817,NA,0,NA,0,"Leicester MA",-71.9086843,42.245926,"Early National"
"2464",2464,8221,2857,"MA","Lennox","Public Library","Public",1855,NA,1857,NA,NA,0,NA,0,"Lennox MA",-73.2848762,42.3564609,"Antebellum"
"2465",2465,678,2858,"MA","Lenox","Social Library","Socl",1793,NA,NA,1853,NA,0,NA,0,"Lenox MA",-73.2848762,42.3564609,"Early National"
"2466",2466,679,2854,"MA","Lenox","Library Assoc.","Socl",1856,NA,1857,NA,1857,1100,1857,1100,"Lenox MA",-73.2848762,42.3564609,"Antebellum"
"2467",2467,4554,2856,"MA","Lenox","North Stockbridge and Lenox Farmers' Club","Agri socl",NA,1867,1867,NA,1867,50,1867,50,"Lenox MA",-73.2848762,42.3564609,NA
"2468",2468,8222,2862,"MA","Leominster","Public Library","Public",1856,NA,1884,NA,1869,3756,1875,6500,"Leominster MA",-71.759794,42.5250906,"Antebellum"
"2469",2469,680,2863,"MA","Leominster","Social Library","Socl",1763,NA,NA,1848,1763,100,1763,100,"Leominster MA",-71.759794,42.5250906,"Colonial"
"2470",2470,3360,2861,"MA","Leominster","Leominster Lyceum","Lyceum",1847,NA,NA,1856,NA,0,NA,0,"Leominster MA",-71.759794,42.5250906,"Antebellum"
"2471",2471,3742,2860,"MA","Leominster","Leominster Institute","Socy",1826,NA,NA,1847,1847,200,1847,200,"Leominster MA",-71.759794,42.5250906,"Early National"
"2472",2472,4555,2859,"MA","Leominster","Leominster Farmers' and Mechanics' Assoc.","Agri socl",NA,1859,1859,NA,1859,100,1859,100,"Leominster MA",-71.759794,42.5250906,NA
"2473",2473,8223,2864,"MA","Lexington","Cary Library","Public",1868,NA,1884,NA,1875,4468,1875,4468,"Lexington MA",-71.2289641,42.4430372,NA
"2474",2474,2903,2866,"MA","Lexington","Juvenile Library","Juv socl",1827,NA,NA,1839,NA,0,NA,0,"Lexington MA",-71.2289641,42.4430372,"Early National"
"2475",2475,681,2867,"MA","Lexington","Social Library","Socl",1790,NA,NA,1835,1831,305,1831,305,"Lexington MA",-71.2289641,42.4430372,"Early National"
"2476",2476,4556,2865,"MA","Lexington","Farmers' Club Library","Agri socl",1835,NA,NA,1867,1859,350,1867,400,"Lexington MA",-71.2289641,42.4430372,"Antebellum"
"2477",2477,8225,2869,"MA","Lincoln","Public Library","Public",1871,NA,1884,NA,1875,2000,1875,2000,"Lincoln MA",-71.3039469,42.4259283,NA
"2478",2478,682,2871,"MA","Littleton","Social Library","Socl",NA,1827,NA,1834,NA,0,NA,0,"Littleton MA",-71.5128022,42.5372893,NA
"2479",2479,3473,2870,"MA","Littleton","Littleton Town Library","Gov",1835,NA,NA,1847,NA,0,NA,0,"Littleton MA",-71.5128022,42.5372893,"Antebellum"
"2480",2480,683,2872,"MA","Longmeadow","Longmeadow Library Society","Socl",1790,NA,1790,NA,NA,0,NA,0,"Longmeadow MA",-72.5828642,42.0501022,"Early National"
"2481",2481,7850,2876,"MA","Lowell","Middlesex County Law Library","Co law",1850,NA,1884,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2482",2482,2618,2882,"MA","Lowell","Young Men's Catholic Library Assoc","Rel socl",1855,NA,1884,NA,1875,700,1875,700,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2483",2483,3000,2877,"MA","Lowell","Middlesex Mechanics' Association","Mech",1827,NA,1884,NA,1857,6630,1875,12782,"Lowell MA",-71.3161718,42.6334247,"Early National"
"2484",2484,3472,2875,"MA","Lowell","Lowell Public Library","Gov",1844,NA,1884,NA,1845,3000,1875,17539,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2485",2485,3548,2883,"MA","Lowell","YMCA","YMCA",1868,NA,1884,NA,1869,418,1875,600,"Lowell MA",-71.3161718,42.6334247,NA
"2486",2486,4363,2873,"MA","Lowell","Bar Association - Wentworth Library","Bar",NA,1875,1884,NA,1875,600,1875,600,"Lowell MA",-71.3161718,42.6334247,NA
"2487",2487,7225,95150,"MA","Lowell","First Unitarian Society Parish Library","Church",NA,1854,1854,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,NA
"2488",2488,7061,12277,"MA","Lowell","Merrimack Corp. Railroad","Mill",1844,NA,1844,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2489",2489,7224,12273,"MA","Lowell","Eliot Church Parish Library","Church",NA,1850,1850,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,NA
"2490",2490,4557,2878,"MA","Lowell","Middlesex, North, Agricultural Society","Agri socl",NA,1859,1867,NA,1859,240,1867,320,"Lowell MA",-71.3161718,42.6334247,NA
"2491",2491,4392,2879,"MA","Lowell","Middlesex North District Medical Society","Med socy",1848,NA,1855,NA,1855,166,1855,166,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2492",2492,6750,2881,"MA","Lowell","Reform School","Prison",1854,NA,1884,NA,1875,525,1875,525,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2493",2493,4959,12275,"MA","Lowell","Lowell Circulating Library","Comm",1834,NA,1848,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2494",2494,4957,2874,"MA","Lowell","Coggeshall's Circulating Library","Comm",1870,NA,1884,NA,1875,500,1875,500,"Lowell MA",-71.3161718,42.6334247,NA
"2495",2495,4958,12274,"MA","Lowell","Franklin and Kstore? Circulating Library","Comm",NA,1834,1834,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,NA
"2496",2496,4960,12276,"MA","Lowell","Lowell R.R. Circulating Library","Comm",NA,1836,1836,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,NA
"2497",2497,4956,12272,"MA","Lowell","Bixby and Whiting Circulating Library","Comm",NA,1845,1845,NA,NA,0,NA,0,"Lowell MA",-71.3161718,42.6334247,NA
"2498",2498,7226,2880,"MA","Lowell","Rector's Library Church","Church",1844,NA,1884,NA,1875,2000,1875,2000,"Lowell MA",-71.3161718,42.6334247,"Antebellum"
"2499",2499,8292,3191,"MA","Ludburg","Goodnow Library","Public",1863,NA,1884,NA,NA,0,NA,0,"Ludburg MA",-71.303052,42.6229217,NA
"2500",2500,8226,2888,"MA","Lunenburg","Town Library","Public",1850,NA,1875,NA,1869,1350,1875,1500,"Lunenburg MA",-71.7245035,42.5945273,"Antebellum"
"2501",2501,8224,2868,"MA","Lunenburg","Public Library","Public",1856,NA,1884,NA,NA,0,NA,0,"Lunenburg MA",-71.7245035,42.5945273,"Antebellum"
"2502",2502,684,2886,"MA","Lunenburg","Lunenburg Library Assoc.","Socl",1845,NA,NA,1853,NA,0,NA,0,"Lunenburg MA",-71.7245035,42.5945273,"Antebellum"
"2503",2503,3735,95125,"MA","Lunenburg","Philomatheon Society","Socy",NA,1855,1855,NA,NA,0,NA,0,"Lunenburg MA",-71.7245035,42.5945273,NA
"2504",2504,685,2887,"MA","Lunenburg","Social Library","Socl",1792,NA,1798,NA,NA,0,NA,0,"Lunenburg MA",-71.7245035,42.5945273,"Early National"
"2505",2505,4558,2885,"MA","Lunenburg","Lunenburg Farmers' Club","Agri socl",NA,1859,1859,NA,NA,0,NA,0,"Lunenburg MA",-71.7245035,42.5945273,NA
"2506",2506,4315,2884,"MA","Lunenburg","Book Club","Book",1790,NA,1790,NA,NA,0,NA,0,"Lunenburg MA",-71.7245035,42.5945273,"Early National"
"2507",2507,8227,2889,"MA","Lynn","Public Library","Public",1862,NA,1884,NA,1862,4000,1875,19808,"Lynn MA",-70.9494938,42.466763,NA
"2508",2508,687,2892,"MA","Lynn","Social Library of Lynn","Socl",1815,NA,NA,1855,1819,205,1843,1375,"Lynn MA",-70.9494938,42.466763,"Early National"
"2509",2509,686,2890,"MA","Lynn","Lynn Library Assoc.","Socl",1855,NA,NA,1862,1857,3500,1862,4000,"Lynn MA",-70.9494938,42.466763,"Antebellum"
"2510",2510,688,2893,"MA","Lynn","Village Library","Socl",NA,1800,1800,NA,NA,0,NA,0,"Lynn MA",-70.9494938,42.466763,NA
"2511",2511,3549,2894,"MA","Lynn","Young Men's Christian Assoc.","YMCA",1868,NA,1884,NA,1875,400,1875,400,"Lynn MA",-70.9494938,42.466763,NA
"2512",2512,3970,2891,"MA","Lynn","Lynn Natural History Society","Sci eng socy",NA,1850,NA,1855,NA,0,NA,0,"Lynn MA",-70.9494938,42.466763,NA
"2513",2513,3359,2897,"MA","Malden","Malden Lyceum Library","Lyceum",1853,NA,1853,NA,NA,0,NA,0,"Malden MA",-71.066163,42.4250964,"Antebellum"
"2514",2514,689,2898,"MA","Malden","Social Library","Socl",NA,NA,NA,NA,NA,0,NA,0,"Malden MA",-71.066163,42.4250964,NA
"2515",2515,7067,2895,"MA","Malden","Boston Public Rubber Shoe Co.","Mill",1873,NA,1875,NA,1875,845,1875,845,"Malden MA",-71.066163,42.4250964,NA
