Name,Organization,Year Elected,Status,Rank,State Born,Group
R. Lyman,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Corps of Artillery
J.L. Gardner,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Corps of Artillery
T.J. Harrison,U.S. Army,1816,Member,2d Lieutenant,Virginia,Corps of Artillery
G.W. Gardiner,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
C.S. Merchant,U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
Nathaniel G. Dana,U.S. Army,1816,Member,2d Lieutenant,New Hampshire,Corps of Artillery
John Monroe,U.S. Army,1816,Member,2d Lieutenant,Scotland,Corps of Artillery
J.S. Allanson,U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
L.G. De Russy,U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
Thomas Childs,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
Jacob Schmuck,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Pennsylvania,Corps of Artillery
Thomas V. Earle,U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
Charles Mellon,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
John S. Pierce,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
Allen Lowd,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Corps of Artillery
G.S. Wilkins,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
P.A. Dennis,U.S. Army,1816,Member,2d Lieutenant,France,Corps of Artillery
J. Ripley,U.S. Army,1816,Member,2d Lieutenant,Connecticut,Corps of Artillery
Erastus Roberts,U.S. Army,1816,Member,2d Lieutenant,Vermont,Corps of Artillery
Timothy Green,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Corps of Artillery
Isaac E. Craig,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
C.M. Thruston,U.S. Army,1816,Member,2d Lieutenant,Kentucky,Corps of Artillery
H.W. Fitzhugh,U.S. Army,1816,Member,2d Lieutenant,Virginia,Corps of Artillery
Jacob Davis,U.S. Army,1816,Member,2d Lieutenant,New Hampshire,Corps of Artillery
E. Humphrey ,U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
D.S. Andrews,U.S. Army,1816,Member,2d Lieutenant,New Jersey,Corps of Artillery
N.G. Wilkinson,U.S. Army,1816,Member,2d Lieutenant,Georgia,Corps of Artillery
Elisha Brimhall,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Massachusetts,Corps of Artillery
H.H. Minton,U.S. Army,1816,Member,2d Lieutenant,New Jersey,Corps of Artillery
Hugh K. Mead,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
H.M. Simons,U.S. Army,1816,Member,2d Lieutenant,South Carolina,Corps of Artillery
A.C. Fowler,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
J.S. Abeel,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Pennsylvania,Corps of Artillery
W.T. Willard,U.S. Army,1816,Member,2d Lieutenant,Vermont,Corps of Artillery
James Gigniliant,U.S. Army,1816,Member,2d Lieutenant,Georgia,Corps of Artillery
M.F.de Graffenriedte,U.S. Army,1816,Member,2d Lieutenant,Louisiana,Corps of Artillery
R.H. Lee,U.S. Army,1816,Member,2d Lt. & 1st by Bvt,Maryland,Corps of Artillery
Jesse McIlvain,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
W.L. Booth,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
Thomas I. Baird,U.S. Army,1816,Member,2d Lieutenant,,Corps of Artillery
Jabez Parkhurst,U.S. Army,1816,Member,2d Lieutenant,Vermont,Corps of Artillery
R.L. Armstrong,U.S. Army,1816,Member,2d Lieutenant,New York,Corps of Artillery
James Badolet,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Corps of Artillery
G.W. Gardner,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Corps of Artillery
B.S.A. Lowe,U.S. Army,1816,Member,3d Lieutenant,Maryland,Corps of Artillery
T.R. Broome,U.S. Army,1816,Member,3d Lieutenant,Delaware,Corps of Artillery
Patrick Galt,U.S. Army,1816,Member,3d Lieutenant,Virginia,Corps of Artillery
Upton S Frazer,U.S. Army,1816,Member,3d Lieutenant,New York,Corps of Artillery
B.H. Rutledge,U.S. Army,1816,Member,3d Lieutenant,South Carolina,Corps of Artillery
John R. Sloo,U.S. Army,1816,Member,3d Lieutenant,Kentucky,Corps of Artillery
Henry Griswold,U.S. Army,1816,Member,3d Lieutenant,,Corps of Artillery
James Monroe,U.S. Army,1816,Member,3d Lieutenant,Virginia,Corps of Artillery
Robert C. Brent,U.S. Army,1816,Member,3d Lieutenant,Virginia,Corps of Artillery
A. Wendell,U.S. Army,1816,Member,3d Lieutenant,New York,Corps of Artillery
G.A. Washington,U.S. Army,1816,Member,3d Lieutenant,Virginia,Corps of Artillery
Robert I. Scott,U.S. Army,1816,Member,3d Lieutenant,,Corps of Artillery
Alon. Brewer,U.S. Army,1816,Member,3d Lieutenant,,Corps of Artillery
F.N. Berrier,U.S. Army,1816,Member,3d Lieutenant,Maryland,Corps of Artillery
George Cooper,U.S. Army,1816,Member,3d Lieutenant,,Corps of Artillery
A.F. Cochrane,U.S. Army,1816,Member,3d Lieutenant,,Corps of Artillery
Milo Johnson,U.S. Army,1816,Member,3d Lieutenant,Connecticut,Corps of Artillery
Aaron G. Gano,U.S. Army,1816,Member,3d Lieutenant,Ohio,Corps of Artillery
R.M. Forsyth,U.S. Army,1816,Member,3d Lieutenant,Georgia,Corps of Artillery
Thomas W. Lendrum,U.S. Army,1816,Member,3d Lieutenant,Virginia,Corps of Artillery
Henry R. Dulany,U.S. Army,1816,Member,3d Lieutenant,Virginia,Corps of Artillery
Daniel Bissell,U.S. Army,1816,Member,Col. & Br. Gen. Bvt,Connecticut,First Regiment of Infantry
George Croghan,U.S. Army,1816,Member,Lieutenant Colonel,Kentucky,First Regiment of Infantry
Thomas S. Jesup,U.S. Army,1816,Member,Major & Col. Bvt,Virginia,First Regiment of Infantry
Alexander Gray,U.S. Army,1816,Member,Captain,North Carolina,First Regiment of Infantry
Issac L. Baker,U.S. Army,1816,Member,Capt. & Maj. Bvt,Kentucky,First Regiment of Infantry
W.O. Butler,U.S. Army,1816,Member,Capt. & Maj. Bvt,Kentucky,First Regiment of Infantry
John Jones,U.S. Army,1816,Member,Captain,,First Regiment of Infantry
Henry Chotard,U.S. Army,1816,Member,Capt. & Maj. Bvt,,First Regiment of Infantry
William Laval,U.S. Army,1816,Member,Capt. & Maj. Bvt,South Carolina,First Regiment of Infantry
Joseph I. Miles,U.S. Army,1816,Member,Captain,Maryland,First Regiment of Infantry
Anatole Peychaud,U.S. Army,1816,Member,Captain,St. Domingo,First Regiment of Infantry
Ferdinand L'Amelung,U.S. Army,1816,Member,Captain,Germany,First Regiment of Infantry
W. Christian,U.S. Army,1816,Member,Captain,Virginia,First Regiment of Infantry
William C. Beard,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Maryland,First Regiment of Infantry
William Sumpter,U.S. Army,1816,Member,1st Lieutenant,South Carolina,First Regiment of Infantry
"S. Farrow, Jr.",U.S. Army,1816,Member,1st Lieutenant,,First Regiment of Infantry
William Gibbs,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Denmark,First Regiment of Infantry
John Tarrant,U.S. Army,1816,Member,1st Lieutenant,Virginia,First Regiment of Infantry
Archimedes Donoho,U.S. Army,1816,Member,1st Lieutenant,,First Regiment of Infantry
Richard K. Call,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Virginia,First Regiment of Infantry
J.F. Ross,U.S. Army,1816,Member,1st Lieutenant,,First Regiment of Infantry
James Smith,U.S. Army,1816,Member,1st Lieutenant,South Carolina,First Regiment of Infantry
Robert L. Coomb,U.S. Army,1816,Member,1st Lieutenant,South Carolina,First Regiment of Infantry
Thomas Rogers,U.S. Army,1816,Member,2d Lieutenant,Georgia,First Regiment of Infantry
Waddy V. Cobbs,U.S. Army,1816,Member,2d Lieutenant,Virginia,First Regiment of Infantry
Samuel Houston,U.S. Army,1816,Member,2d Lieutenant,,First Regiment of Infantry
William K. Paulling,U.S. Army,1816,Member,2d Liuetenant,,First Regiment of Infantry
Charles Cooper,U.S. Army,1816,Member,2d Lieutenant,England,First Regiment of Infantry
Truman Cross,U.S. Army,1816,Member,2d Lieutenant,Maryland,First Regiment of Infantry
Robert W. Ewing,U.S. Army,1816,Member,2d Lieutenant,Kentucky,First Regiment of Infantry
James Scallan ,U.S. Army,1816,Member,2d Lieutenant,Ireland,First Regiment of Infantry
Benjamin F. Harney,U.S. Army,1816,Member,Surgeon,Delaware,First Regiment of Infantry
C.G. Gerrard,U.S. Army,1816,Member,Surgeon's Mate.,Virginia,First Regiment of Infantry
Hugh Brady,U.S. Army,1816,Member,Colonel,Pennsylvania,Second Regiment of Infantry
Ninian Pinkney,U.S. Army,1816,Member,Lieutenant Colonel,Maryland,Second Regiment of Infantry
Henry Leavenworth,U.S. Army,1816,Member,Major & Col. Bvt,Connecticut,Second Regiment of Infantry
Robert Gray,U.S. Army,1816,Member,Capt. & Maj. Bvt,Ireland,Second Regiment of Infantry
John Sproul,U.S. Army,1816,Member,Capt. & Maj. Bvt,New York,Second Regiment of Infantry
George G. Steele,U.S. Army,1816,Member,Capt. & Maj. Bvt,Virginia,Second Regiment of Infantry
Stephen W. Kearney,U.S. Army,1816,Member,Captain,New Jersey,Second Regiment of Infantry
Henry Shell,U.S. Army,1816,Member,Captain,Pennsylvania,Second Regiment of Infantry
Alexander R. Thompson,U.S. Army,1816,Member,Captain,New York,Second Regiment of Infantry
G.D. Smith,U.S. Army,1816,Member,Capt. & Maj. Bvt,New York,Second Regiment of Infantry
W.I. Worth,U.S. Army,1816,Member,Capt. & Maj. Bvt,New York,Second Regiment of Infantry
Henry Whiting,U.S. Army,1816,Member,Captain,,Second Regiment of Infantry
James Bailey,U.S. Army,1816,Member,Captain,,Second Regiment of Infantry
W. Browning,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Second Regiment of Infantry
W. Hoffman,U.S. Army,1816,Member,1st Lieutenant,New York,Second Regiment of Infantry
B.A. Boynton,U.S. Army,1816,Member,1st Lieutenant,,Second Regiment of Infantry
Owen ransom,U.S. Army,1816,Member,1st Lieutenant,Connecticut,Second Regiment of Infantry
James Young,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Second Regiment of Infantry
William G. Belknap,U.S. Army,1816,Member,1st Lieutenant,New York,Second Regiment of Infantry
S.B. Griswold,U.S. Army,1816,Member,1st Lieutenant,New York,Second Regiment of Infantry
Walter Bicker,U.S. Army,1816,Member,1st Lieutenant,New York,Second Regiment of Infantry
John G. Munn,U.S. Army,1816,Member,1st Lieutenant,,Second Regiment of Infantry
James Palmer,U.S. Army,1816,Member,1st Lieutenant,New York,Second Regiment of Infantry
John Wood,U.S. Army,1816,Member,2d Lieutenant,New York,Second Regiment of Infantry
Joseph Hopkins,U.S. Army,1816,Member,2d Lieutenant,,Second Regiment of Infantry
William Kendall,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,,Second Regiment of Infantry
R.M. Harrison,U.S. Army,1816,Member,2d Lieutenant,New York,Second Regiment of Infantry
Elisha Clark,U.S. Army,1816,Member,2d Lieutenant,Connecticut,Second Regiment of Infantry
Seth Johnson,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,New Jersey,Second Regiment of Infantry
Joshua B. Brant,U.S. Army,1816,Member,2d Lieutenant,Connecticut,Second Regiment of Infantry
John Clitz,U.S. Army,1816,Member,2d Lieutenant,New York,Second Regiment of Infantry
Henry Smith,U.S. Army,1816,Member,2d Lieutenant,New York,Second Regiment of Infantry
J.W. Albright,U.S. Army,1816,Member,Paymaster  ,Pennsylvania,Second Regiment of Infantry
Walter V. Wheaton,U.S. Army,1816,Member,Surgeon,New York,Second Regiment of Infantry
Samuel H. Littlejohn,U.S. Army,1816,Member,Surgeon's Mate.,Virginia,Second Regiment of Infantry
Josiah Everett,U.S. Army,1816,Member,Surgeon's Mate.,Massachusetts,Second Regiment of Infantry
John Miller,U.S. Army,1816,Member,Colonel,Virginia,Third Regiment of Infantry
Matthew Arbuckle,U.S. Army,1816,Member,Lieutenant Colonel,Virginia,Third Regiment of Infantry
Zachariah Taylor,U.S. Army,1816,Member,Major,,Third Regiment of Infantry
Daniel Baker,U.S. Army,1816,Member,Capt. & Maj. Bvt,,Third Regiment of Infantry
William I. Adair,U.S. Army,1816,Member,Captain,Kentucky,Third Regiment of Infantry
John T. Chunn,U.S. Army,1816,Member,Capt. & Maj. Bvt,,Third Regiment of Infantry
Charles Larabee,U.S. Army,1816,Member,Capt. & Maj. Bvt,Connecticut,Third Regiment of Infantry
William Whistler,U.S. Army,1816,Member,Captain,Maryland,Third Regiment of Infantry
Benjamin Desha,U.S. Army,1816,Member,Captain,Kentucky,Third Regiment of Infantry
Her. Bradley,U.S. Army,1816,Member,Captain,Virginia,Third Regiment of Infantry
Geo. H. Grosvernor,U.S. Army,1816,Member,Captain,New York,Third Regiment of Infantry
George Gray,U.S. Army,1816,Member,Captain,Virginia,Third Regiment of Infantry
John  Green,U.S. Army,1816,Member,Captain,Ireland,Third Regiment of Infantry
"James Hackley, Jun.",U.S. Army,1816,Member,1st Lieutenant,Kentucky,Third Regiment of Infantry
John Garland,U.S. Army,1816,Member,1st Lieutenant,Virginia,Third Regiment of Infantry
Charles S. Cass,U.S. Army,1816,Member,1st Lieutenant,,Third Regiment of Infantry
J. Culbertson,U.S. Army,1816,Member,1st Lieutenant,,Third Regiment of Infantry
Robert Sturgus,U.S. Army,1816,Member,1st Lieutenant,,Third Regiment of Infantry
Daniel Curtis,U.S. Army,1816,Member,1st Lieutenant,New Hampshire,Third Regiment of Infantry
Henry Conway,U.S. Army,1816,Member,1st Lieutenant,,Third Regiment of Infantry
Lawrence Talliaferro,U.S. Army,1816,Member,1st Lieutenant,Virginia,Third Regiment of Infantry
Turbly F. Thomas,U.S. Army,1816,Member,1st Lieutenant,Georgia,Third Regiment of Infantry
Collin McCloud,U.S. Army,1816,Member,1st Lieutenant,,Third Regiment of Infantry
Asher Phillips,U.S. Army,1816,Member,2d Lieutenant,,Third Regiment of Infantry
John B. Clarke,U.S. Army,1816,Member,2d Lieutenant,Kentucky,Third Regiment of Infantry
Edward E. Brooks,U.S. Army,1816,Member,2d Lieutenant,New Jersey,Third Regiment of Infantry
Andrew Lewis,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Third Regiment of Infantry
James Dean,U.S. Army,1816,Member,2d Lieutenant,New York,Third Regiment of Infantry
Hillary Brunot,U.S. Army,1816,Member,2d Lieutenant,,Third Regiment of Infantry
Gab. I Floyd,U.S. Army,1816,Member,2d Lieutenant,,Third Regiment of Infantry
Edmond Hopkins,U.S. Army,1816,Member,2d Lieutenant,Ireland,Third Regiment of Infantry
Britton Evans,U.S. Army,1816,Member,2d Lieutenant,,Third Regiment of Infantry
William S. Madison,U.S. Army,1816,Member,Surgeon,Kentucky,Third Regiment of Infantry
John Gale,U.S. Army,1816,Member,Surgeon's Mate.,New Hampshire,Third Regiment of Infantry
Alfred Foster,U.S. Army,1816,Member,Surgeon's Mate.,,Third Regiment of Infantry
William King,U.S. Army,1816,Member,Colonel,Delaware,Fourth Regiment of Infantry
Duncan L. Clinch,U.S. Army,1816,Member,Lieutenant Colonel,North Carolina,Fourth Regiment of Infantry
George M. Brooke,U.S. Army,1816,Member,Maj. & Lt. Col. Bvt,Virginia,Fourth Regiment of Infantry
Enoch Cutler,U.S. Army,1816,Member,Capt. & Maj. Bvt,Massachusetts,Fourth Regiment of Infantry
P. Muhlenburg,U.S. Army,1816,Member,Capt. & Maj. Bvt,Pennsylvania,Fourth Regiment of Infantry
James Dinkins,U.S. Army,1816,Member,Capt. & Maj. Bvt,South Carolina,Fourth Regiment of Infantry
J.N. McIntosh,U.S. Army,1816,Member,Captain,Georgia,Fourth Regiment of Infantry
A. Cummings,U.S. Army,1816,Member,Captain,Ireland,Fourth Regiment of Infantry
John A. Burd,U.S. Army,1816,Member,Capt. & Maj. Bvt,Pennsylvania,Fourth Regiment of Infantry
William Taylor,U.S. Army,1816,Member,Captain,South Carolina,Fourth Regiment of Infantry
C. Crawford,U.S. Army,1816,Member,Captain,Virginia,Fourth Regiment of Infantry
G.W. Melvin,U.S. Army,1816,Member,Captain,Georgia,Fourth Regiment of Infantry
James H. Hook,U.S. Army,1816,Member,Captain,Maryland,Fourth Regiment of Infantry
Thomas Karney,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,,Fourth Regiment of Infantry
William Neilson,U.S. Army,1816,Member,1st Lieutenant,Ireland,Fourth Regiment of Infantry
Otho W. Callis,U.S. Army,1816,Member,1st Lieutenant,Virginia,Fourth Regiment of Infantry
Lewis Yancey,U.S. Army,1816,Member,1st Lieutenant,North Carolina,Fourth Regiment of Infantry
William T. Pendleton,U.S. Army,1816,Member,1st Lieutenant,Virginia,Fourth Regiment of Infantry
"J. McGavoch, Jun. ",U.S. Army,1816,Member,1st Lieutenant,Virginia,Fourth Regiment of Infantry
James H. Gale,U.S. Army,1816,Member,1st Lieutenant,,Fourth Regiment of Infantry
J.M. Glassell,U.S. Army,1816,Member,1st Lieutenant,Virginia,Fourth Regiment of Infantry
E.B. Randolph,U.S. Army,1816,Member,1st Lieutenant,Virginia,Fourth Regiment of Infantry
T.L. Dade,U.S. Army,1816,Member,1st Lieutenant,Virginia,Fourth Regiment of Infantry
Philip Wager,U.S. Army,1816,Member,2d Lieutenant,Virginia,Fourth Regiment of Infantry
J. Shommo,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Fourth Regiment of Infantry
Henry Wilson,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Fourth Regiment of Infantry
George B. McClaskey,U.S. Army,1816,Member,2d Lieutenant,,Fourth Regiment of Infantry
R.M. Sands,U.S. Army,1816,Member,2d Lieutenant,Maryland,Fourth Regiment of Infantry
John L. Elbert,U.S. Army,1816,Member,2d Lieutenant,Maryland,Fourth Regiment of Infantry
Adam G. Goodlet,U.S. Army,1816,Member,Surgeon,,Fourth Regiment of Infantry
R.C. Lane,U.S. Army,1816,Member,Surgeon's Mate.,Virginia,Fourth Regiment of Infantry
James Miller,U.S. Army,1816,Member, Col. Br. Gen. Bvt,New Hampshire,Fifth Regiment of Infantry
Joseph L. Smith,U.S. Army,1816,Member,Lieutenant Colonel,Connecticut,Fifth Regiment of Infantry
"J. McNeal, Jun.",U.S. Army,1816,Member,Major & Col. Bvt,New Hampshire,Fifth Regiment of Infantry
Josiah H. Vose,U.S. Army,1816,Member,Capt. & Maj. Bvt,Massachusetts,Fifth Regiment of Infantry
S. Burbank,U.S. Army,1816,Member,Capt. & Maj. Bvt,Massachusetts,Fifth Regiment of Infantry
George Bender,U.S. Army,1816,Member,Captain,Massachusetts,Fifth Regiment of Infantry
M. Marston,U.S. Army,1816,Member,Captain & Maj. Bvt,New Hampshire,Fifth Regiment of Infantry
W.L. Foster,U.S. Army,1816,Member,Captain,Massachusetts,Fifth Regiment of Infantry
Peter Pelham,U.S. Army,1816,Member,Captain,North Carolina,Fifth Regiment of Infantry
"J. Fowle, Jun. ",U.S. Army,1816,Member,Captain,Massachusetts,Fifth Regiment of Infantry
E. Childs,U.S. Army,1816,Member,Captain,,Fifth Regiment of Infantry
David Perry,U.S. Army,1816,Member,Captain,Massachusetts,Fifth Regiment of Infantry
James Pratt,U.S. Army,1816,Member,Captain,Massachusetts,Fifth Regiment of Infantry
Henry Whiting,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Fifth Regiment of Infantry
George Gooding,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Fifth Regiment of Infantry
William B. Adams,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Pennsylvania,Fifth Regiment of Infantry
J. Plympton,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Fifth Regiment of Infantry
G.W. Hovey,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Fifth Regiment of Infantry
Otis Fisher,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Fifth Regiment of Infantry
Joseph Gleason,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Fifth Regiment of Infantry
J.W. Holding,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Maryland,Fifth Regiment of Infantry
Benj. F. Larned,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Massachusetts,Fifth Regiment of Infantry
S. Butterfield,U.S. Army,1816,Member,1st Lieutenant,New Hampshire,Fifth Regiment of Infantry
Robert A. McCabe,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,Pennsylvania,Fifth Regiment of Infantry
Nathan Clark,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Fifth Regiment of Infantry
Edmund Kirby,U.S. Army,1816,Member,2d Lieutenant,Connecticut,Fifth Regiment of Infantry
O. Martin,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,Pennsylvania,Fifth Regiment of Infantry
T. Hunt,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Fifth Regiment of Infantry
Arnold B. Dake,U.S. Army,1816,Member,2d Lieutenant,Vermont,Fifth Regiment of Infantry
R.H. Hammon,U.S. Army,1816,Member,2d Lieutenant,,Fifth Regiment of Infantry
P.R. Green,U.S. Army,1816,Member,2d Lieutenant,New York,Fifth Regiment of Infantry
John McCartney,U.S. Army,1816,Member,2d Lieutenant,Ireland,Fifth Regiment of Infantry
William Downey,U.S. Army,1816,Member,2d Lieutenant,,Fifth Regiment of Infantry
Sylvester Day,U.S. Army,1816,Member,Surgeon,Vermont,Fifth Regiment of Infantry
Elisha L. Allen,U.S. Army,1816,Member,Surgeon's Mate.,Massachusetts,Fifth Regiment of Infantry
J.P. Russell,U.S. Army,1816,Member,Surgeon's Mate.,Vermont,Fifth Regiment of Infantry
Henry Atkinson,U.S. Army,1816,Member,Colonel,Norh,Sixth Regiment of Infantry
Josiah Snelling,U.S. Army,1816,Member, Lieut. Colonel,Massachusetts,Sixth Regiment of Infantry
James V. Ball,U.S. Army,1816,Member,Maj. & Lt. Col. Bvt,Virginia,Sixth Regiment of Infantry
Gad Humphreys,U.S. Army,1816,Member,Captain & Maj. Bvt,Connecticut,Sixth Regiment of Infantry
Turner Crooker,U.S. Army,1816,Member,Captain & Maj. Bvt,Massachusetts,Sixth Regiment of Infantry
W.S. Foster,U.S. Army,1816,Member,Captain & Maj. Bvt,New Hampshire,Sixth Regiment of Infantry
Thos. M. Read,U.S. Army,1816,Member,Captain,Rhode Island,Sixth Regiment of Infantry
John Bliss,U.S. Army,1816,Member,Captain,,Sixth Regiment of Infantry
Benjamin Watson,U.S. Army,1816,Member,Capt. & Maj. Bvt,Connecticut,Sixth Regiment of Infantry
George McGlassin,U.S. Army,1816,Member,Capt. & Maj. Bvt,,Sixth Regiment of Infantry
Daniel Ketchum,U.S. Army,1816,Member,Capt. & Maj. Bvt,Connecticut,Sixth Regiment of Infantry
Thomas Hamilton,U.S. Army,1816,Member,Captain,,Sixth Regiment of Infantry
Newman S. Clarke,U.S. Army,1816,Member,Captain,Connecticut,Sixth Regiment of Infantry
Elisha Boardman,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,Connecticut,Sixth Regiment of Infantry
William Hale,U.S. Army,1816,Member,1st Lieutenant,Vermont,Sixth Regiment of Infantry
Ephraim Shaylor,U.S. Army,1816,Member,1st Lieutenant,Massachusetts,Sixth Regiment of Infantry
G.McChain,U.S. Army,1816,Member,1st Lieutenant,New York,Sixth Regiment of Infantry
Frederick A. Sawyer,U.S. Army,1816,Member,1st Lieutenant,Vermont,Sixth Regiment of Infantry
J.P. Livingston,U.S. Army,1816,Member,1st Lt. & Capt. Bvt,New York,Sixth Regiment of Infantry
Alphonso Wetmore,U.S. Army,1816,Member,1st Lieutenant,Connecticut,Sixth Regiment of Infantry
Thomas Staniford,U.S. Army,1816,Member,1st Lieutenant,Connecticut,Sixth Regiment of Infantry
"J. Clark, Jun.",U.S. Army,1816,Member,1st Lieutenant,Vermont,Sixth Regiment of Infantry
Delafayette Wilcox,U.S. Army,1816,Member,1st Lieutenant,Connecticut,Sixth Regiment of Infantry
John Ellison,U.S. Army,1816,Member,2d Lieutenant,Ireland,Sixth Regiment of Infantry
Thomas Tupper,U.S. Army,1816,Member,2d Lieutenant,,Sixth Regiment of Infantry
"S. Keeler, Jun. ",U.S. Army,1816,Member,2d Lieutenant,Connecticut,Sixth Regiment of Infantry
Haren Bedel,U.S. Army,1816,Member,2d Lieutenant,,Sixth Regiment of Infantry
James McIlyain,U.S. Army,1816,Member,2d Lieutenant,Delaware,Sixth Regiment of Infantry
Benj. Fitch,U.S. Army,1816,Member,2d Lieutenant,Connecticut,Sixth Regiment of Infantry
Jacob Brown,U.S. Army,1816,Member,2d Lieutenant,Massachusetts,Sixth Regiment of Infantry
John Mansfield,U.S. Army,1816,Member,2d Lieutenant,Maryland,Sixth Regiment of Infantry
Thomas G. Mowers,U.S. Army,1816,Member,Surgeon,Massachusetts,Sixth Regiment of Infantry
Charles Loring,U.S. Army,1816,Member,Surgeon's Mate.,District of Maine,Sixth Regiment of Infantry
William Sterne,U.S. Army,1816,Member,Surgeon's Mate.,New Hampshire,Sixth Regiment of Infantry
James McDonald,U.S. Army,1816,Member,Colonel,Virginia,Seventh Regiment of Infantry
David Brearly,U.S. Army,1816,Member,Lt. Col. & Col. Bvt,New Jersey,Seventh Regiment of Infantry
John Nicks,U.S. Army,1816,Member,Major,North Carolina,Seventh Regiment of Infantry
R. Whartenby,U.S. Army,1816,Member,Capt. & Maj. Bvt,Pennsylvania,Seventh Regiment of Infantry
Francis W. Armstrong,U.S. Army,1816,Member,Capt. & Maj. Bvt,Virginia,Seventh Regiment of Infantry
D.E. Twiggs,U.S. Army,1816,Member,Capt. & Maj. Bvt,Georgia,Seventh Regiment of Infantry
Richard H. Bell,U.S. Army,1816,Member,Captain,Virginia,Seventh Regiment of Infantry
George Vashon,U.S. Army,1816,Member,Captain,Maryland,Seventh Regiment of Infantry
Elijah Montgomery,U.S. Army,1816,Member,Captain,Virginia,Seventh Regiment of Infantry
J.S. Allison,U.S. Army,1816,Member,Captain,Virginia,Seventh Regiment of Infantry
George Birch,U.S. Army,1816,Member,Captain,England,Seventh Regiment of Infantry
John R. Corbaly,U.S. Army,1816,Member,Captain,,Seventh Regiment of Infantry
William Baily,U.S. Army,1816,Member,Captain,Virginia,Seventh Regiment of Infantry
J.H. Mallory,U.S. Army,1816,Member,1st Lieutenant,Virginia,Seventh Regiment of Infantry
"William Beel, Jun.",U.S. Army,1816,Member,1st Lieutenant,South Carolina,Seventh Regiment of Infantry
J.J. Clinch,U.S. Army,1816,Member,1st Lieutenant,North Carolina,Seventh Regiment of Infantry
J. Gassaway,U.S. Army,1816,Member,1st Lieutenant,Maryland,Seventh Regiment of Infantry
T. Blackston,U.S. Army,1816,Member,1st Lieutenant,Virginia,Seventh Regiment of Infantry
A. Ross,U.S. Army,1816,Member,1st Lieutenant,Canada,Seventh Regiment of Infantry
Jacob Tipton,U.S. Army,1816,Member,1st Lieutenant,Tennessee,Seventh Regiment of Infantry
Edmund Hall,U.S. Army,1816,Member,1st Lieutenant,,Seventh Regiment of Infantry
F.S. Gray,U.S. Army,1816,Member,1st Lieutenant,Virginia,Seventh Regiment of Infantry
Micajah Crupper,U.S. Army,1816,Member,2d Lieutenant,Virginia,Seventh Regiment of Infantry
