Name,year started,year ended,City,State,type,,,,,
Norman Eastob,1860,,Fall River,MA,O,,,,,
Daniel Cady Eaton,1859,,New Haven,CT,O,,,,,
Horace Eaton,1853,1853,Middlebury,VT,O,,,,,
Alonzo J. Edgerton,1853,1853,Grenada,MI,O,,,,,
William Edmondstone,1857,1859,Montreal,Canada,O,,,,,
Thomas Edmundson,1856,1858,Baltimore,MD,O,,,,,
Richard Edwards,1856,1858,Salem ,MA,O,,,,,
N. H. Eggleston,1859,,Madison,WI,O,,,,,
James Eight,1848,1851,Albany,NY,O,,,,,
Joeph Ela,1851,1854,Concord,NH,O,,,,,
William Elderhorst,1856,1858,Troy,NY,O,,,,,
Frederick Elin,1857,1859,London,England,O,,,,,
Charle William Eliot,1854,1855,Cambridge,MA,O,,,,,
William Henry Ellet,1848,1853,New York,NY,O,,,,,
William Elliott,1848,1854,Beaufort,SC,O,,,,,
Henry Leavitt Ellsworth,1848,1851,Lafayette,IN,O,,,,,
Charles Arthur Ely,1850,1858,Elyria,OH,O,,,,,
George H. Ely,1859,,Rochester,NY,O,,,,,
Jame W. C. Ely,1855,1857,Providence,RI,O,,,,,
Alfred Emerson,1853,1855,Hudson ,OH,O,,,,,
George Barrell Emerson,1848,,Boston,MA,O,,,,,
George D. Emerson,1853,1856,Cleveland,OH,O,,,,,inactive 1853-1855
A. B. Engstrom,1848,,Burlington,NJ,O,,,,,
John S. Erwin,1850,1854,Marian,NC,O,,,,,
Joeph Estabrook,1848,1854,Nashville,TN,O,,,,,
D. K. Este,1850,1854,New Haven,CT,O,,,,,
D. C. Estes,1856,1858,Albany,NY,O,,,,,
Henry Lawrence Eustis,1849,,Cambridge,MA,O,,,,,
Alexander C. Evans,1850,1854,Newark,NJ,O,,,,,
John Evans,1851,,Chicago,IL,O,,,,,
John Evans,1853,1854,Tadnor,PA,O,,,,,
Paul Fitzsimmons Eve,1858,1860,Nashville,TN,O,,,,,
Frank Everett,1848,1851,Canajoharie,NY,O,,,,,
Franklin Everett,1848,1851,Boston,MA,O,,,,,
J. D. Everett,1860,1860,Winsor,Nova Scotia,O,,,,,
Thomas Ewbank,1854,1856,Washington,DC,O,,,,,
L. C. Ewendberg,1853,1854,New Weid,TX,O,,,,,
Thomas Ewing,1851,,Lancaster ,OH,O,,,,,
Samuel Fair,1857,1857,Columbia,SC,O,,,,,
Henry Fairbanks,1860,,Hanover,NH,O,,,,,
Charles Fairchild,1857,1859,Madison,WI,O,,,,,
James Harris Fairchild ,1851,1858,Oberlin,OH,O,,,,,
J. W. Fairfield,1856,1859,Hudson ,NY,O,,,,,
James Fairhaven,1857,1857,Montreal,Canada,O,,,,,
James Fairie,1853,1859,Morehouse Parish,LA,O,,,,,
David Fairly,1857,1859,Glascow,Scotland,O,,,,,
J. E. Farnham,1853,1859,Georgetown ,KY,O,,,,,inactive 1855-1858
W. H. Farquhar,1858,1860,Montgomerie County,MD,O,,,,,
Charles Fay,1857,1859,St. Albans,VT,O,,,,,
E. P. Fearing,1854,1859,Nantucket,MA,O,,,,,
Joseoh Fellows,1856,1859,Albany,NY,O,,,,,
Cornelius Conway Felton,1849,1854,Cambridge,MA,O,,,,,
Frank Elliot Felton,1850,1854,Cambridge,MA,O,,,,,
Samuel Morse Felton,1849,1854,Charlestown ,MA,O,,,,,
John A. B. Ferland,1857,1859,Quebec,Canada,O,,,,,
Isaac Ferris,1851,,New York,NY,O,,,,,
Millard Fillmore,1853,,Buffalo,NY,O,,,,,
William P. Finley,1851,1854,Charleston ,SC,O,,,,,
Mark Fisher,1856,,Trenton ,NJ,O,,,,,
George Park Fisher,1857,,New Haven,CT,O,,,,,
Nathaniel Augustus Fisher,1855,1859,Norwich ,CT,O,,,,,
Robert A. Fisher,1855,1857,Providence,RI,O,,,,,
Thomas Fisher,1850,1857,Philadelphia,PA,O,,,,,inactive 1851-1854
L. R. Fisk,1856,1858,Ypsilanti,MI,O,,,,,
Alexander Fitch,1848,death c.1860,Hartford,CT,O,,,,,
Asa Fitch,1848,1851,Salem ,NY,O,,,,,
Enoch Fitch,1851,1854,Lyme,CT,O,,,,,
Orramel H. Fitch,1853,,Ashtabula,OH,O,,,,,
Henry Collins Flagg,1848,1854,New Haven,CT,O,,,,,
George Folsom,1857,,New York,NY,O,,,,,
Elisha Foote,1856,1860,Seneca Falls,NY,O,,,,,
Thomas Moses Foote,1851,1854,Albany ,NY,O,,,,,
Charles Edwin Forbes,1848,1851,Northampton ,MA,O,,,,,
R. W. Forbes,1849,1857,New York,NY,O,,,,,
Robert Watson Forbes,1848,1851,New Haven,CT,O,,,,,
Charles  F. Force,1858,,Washington,DC,O,,,,,
Richard Ford,1858,1860,Columbia,SC,O,,,,,
Edward Foreman,1848,1851,Baltimore,MD,O,,,,,
John Forrest,1850,1854,Charleston ,SC,O,,,,,
Joel Foster,1848,1851,New York,NY,O,,,,,
William Bentley Fowle,1848,,Boston ,MA,O,,,,,
Asa Fowler,1856,1856,Concord,NH,O,,,,,
