Name,Organization,Membership Status,Year Elected,Current Status,Profession,,
Robert H. Brown,National Institute for the Promotion of Science,Corresponding,1842,,,,
Thompson S. Brown,National Institute for the Promotion of Science,Corresponding,1842,,,,
George Brown,National Institute for the Promotion of Science,Corresponding,1842,,,,
E.J. Bridges,National Institute for the Promotion of Science,Corresponding,1841,,Capt,,
R.J. Brumby,National Institute for the Promotion of Science,Corresponding,1841,,,,
Franklin Buchanan,National Institute for the Promotion of Science,Corresponding,1842,,capt Navy,,
R. Bachman,National Institute for the Promotion of Science,Corresponding,1841,,,,
J. Bachman,National Institute for the Promotion of Science,Corresponding,1841,,,,
B.W. Budd,National Institute for the Promotion of Science,Corresponding,1840,,,,
H.A. Ballard,National Institute for the Promotion of Science,Corresponding,Historical Society,,,,
W.C.B.H. Burnaby,National Institute for the Promotion of Science,Corresponding,1842,,Captain Royal Navy,,
Charles Burroughs,National Institute for the Promotion of Science,Corresponding,1842,,Reverand DD,,
Jacob Burnett,National Institute for the Promotion of Science,Corresponding,1842,,Honorable,,
G.W. Burnap,National Institute for the Promotion of Science,Corresponding,1841,,,,
John Burgoyne,National Institute for the Promotion of Science,Corresponding,1841,,Maj. General Ireland,,
E.G.W. Butler,National Institute for the Promotion of Science,Corresponding,1841,,Major Louisiana,,
Benjamin F. Butler,National Institute for the Promotion of Science,Corresponding,Historical Society,,,,
Alex S. Byrne,National Institute for the Promotion of Science,Corresponding,1841,,,,
Proby Cantley,National Institute for the Promotion of Science,Corresponding,1840,,Captain Singapore,,
Ethan Campbell,National Institute for the Promotion of Science,Corresponding,1841,,,,
